Book,Chapter,Entities
Harry Potter and the Sorcerer's Stone,1,"Vernon Dursley, Petunia Dursley, Number Four Privet Drive, Grunnings, Dudley Dursley, owl, cat, the Potters, muggles, You-Know-Who, the Dursleys, Headmaster Albus Dumbledore, Deluminator, Professor McGonagall, James Potter, Lily Potter, Lord Voldemort, Potter cottage, Godric's Hollow, Harry Potter, Rubeus Hagrid, flying motorbike, orphaned baby, Sirius Black, the boy who lived"
Harry Potter and the Sorcerer's Stone,2,"the Dursleys, Harry Potter, doorstep, Number Four Privet Drive, Dudley Dursley, cupboard under the stairs, spiders, Petunia Dursley, flying motorbike, Dudley's 11th birthday, Dudley's old clothes, jet-black hair, green eyes, glasses, lightning-shaped scar, forehead, car crash, parents, Vernon Dursley, Arabella Figg, zoo, Piers Polkiss, Boa constrictor, Parseltongue, vanishing glass incident"
Harry Potter and the Sorcerer's Stone,3,"cupboard under the stairs, Dudley Dursley, Number Four Privet Drive, Piers Polkiss, Smeltings Academy, Stonewall High, Vernon Dursley, Vernon Dursley's sister, Harry Potter, letter, yellow parchment envelope, Lion, Snake, Badger, Eagle, Petunia Dursley, Dudley's second bedroom, letterbox, letters, fireplace, gloomy hotel, Harry's 11th birthday, yellow parchment envelope"
Harry Potter and the Sorcerer's Stone,4,"Rubeus Hagrid, Harry Potter, Vernon Dursley, Petunia Dursley, Dudley Dursley, rifle, birthday cake, Keeper of Keys and Grounds, Hogwarts School of Witchcraft and Wizardry, sausages, wizard, Harry’s acceptance letter, 1st September, parchment, quill, Headmaster Albus Dumbledore, Muggle, Lily Potter, James Potter, witch, Dark wizard, Lord Voldemort, scar, ruins of the house, Number Four Privet Drive, umbrella, pig’s tail, expelled, magic, Hagrid’s coat"
Harry Potter and the Sorcerer's Stone,5,"Harry Potter, Rubeus Hagrid, Hogwarts School of Witchcraft and Wizardry, owl, newspaper, Gringotts, goblins, Dumbledore, Ministry of Magic, Cornelius Fudge, Muggles, dragons, Hogwarts supply list, Leaky Cauldron, Doris Crockford, Dedalus Diggle, Quirinus Quirrell, Defence Against the Dark Arts, umbrella, Diagon Alley, Gringotts Bank, Goblin, Griphook, Harry’s vault, Vault 713, Bronze Knuts, Silver Sickles, Gold Galleons, grubby little package, Madam Malkin's Robes for All Occasions, pale-faced boy, Quidditch, broomstick, Slytherin, Hufflepuff, four Hogwarts houses, blood status, Ollivanders, Mr Ollivander, Harry’s scar, holly wand, eleven inches, phoenix feather core, Voldemort’s wand, Hedwig, snowy owl, Hogwarts Express, train ticket, Muggle world"
Harry Potter and the Sorcerer's Stone,6,"Harry Potter, Vernon Dursley, Petunia Dursley, Dudley Dursley, Hedwig, smallest bedroom, King’s Cross Station, Platform Nine and Three-Quarters, train ticket, Molly Weasley, Fred Weasley, George Weasley, Ron Weasley, Scabbers, sweets, Quidditch, Bertie Bott's Every Flavour Beans, Famous Witches and Wizards cards, Albus Dumbledore, Hermione Granger, Neville Longbottom, Trevor, Draco Malfoy, Crabbe, Goyle, Hogwarts Express, Hogsmeade Station, Hagrid, Lake, Hogwarts"
Harry Potter and the Sorcerer's Stone,7,"Professor Minerva McGonagall, Gryffindor, Hufflepuff, Ravenclaw, Slytherin, Quidditch, House Cup, Hogwarts ghosts, Peeves, Great Hall, Sorting Hat, Hermione Granger, Ron Weasley, Draco Malfoy, Harry Potter, feast, Sir Nicholas de Mimsy-Porpington, Nearly Headless Nick, Neville Longbottom, Seamus Finnigan, Muggle, Professor Quirrell, Professor Severus Snape, Potions, Albus Dumbledore, Forbidden Forest, 3rd-floor corridor, Peeves, Fat Lady, Gryffindor Tower, Percy Weasley, password, dream, green light"
Harry Potter and the Sorcerer's Stone,8,"Harry Potter, Hogwarts, Nearly-Headless Nick, Peeves, Argus Filch, Ron Weasley, Third-floor corridor, Professor Quirrell, History of Magic, Professor Binns, Transfiguration, Professor McGonagall, Hermione Granger, Defence Against the Dark Arts, vampire, Romania, zombie, African prince, Hedwig, Hagrid, Potions, Professor Severus Snape, Fang, Daily Prophet, Gringotts, vault 713"
Harry Potter and the Sorcerer's Stone,9,"Harry Potter, Hogwarts, Gryffindor, Slytherin, Draco Malfoy, Madam Hooch, Neville Longbottom, Hospital Wing, Remembrall, Professor McGonagall, Oliver Wood, Gryffindor Quidditch team, Seeker, Ron Weasley, Vincent Crabbe, Gregory Goyle, wizard’s duel, Hermione Granger, Fat Lady, Argus Filch, Mrs Norris, Trophy Room, third floor corridor, three-headed dog, trapdoor"
Harry Potter and the Sorcerer's Stone,10,"Harry Potter, Ron Weasley, Nimbus 2000, Professor McGonagall, Draco Malfoy, Professor Flitwick, Oliver Wood, Quidditch, Seeker, Golden Snitch, Wingardium Leviosa, Hermione Granger, Hallowe’en feast, Professor Quirrell, Defence Against the Dark Arts, twelve-foot troll, girls’ bathroom, teamwork, magic, Professor McGonagall"
Harry Potter and the Sorcerer's Stone,11,"Harry Potter, Quidditch, Hermione Granger, Professor Severus Snape, Argus Filch, three-headed dog, cut on leg, Slytherin Captain, Dark magic, broomstick, Weasley twins, Quirinus Quirrell, Hagrid, Ron Weasley, third-floor corridor, Fluffy, Albus Dumbledore, Nicolas Flamel"
Harry Potter and the Sorcerer's Stone,12,"Harry Potter, Draco Malfoy, Hogwarts, Ron Weasley, Mr Weasley, Mrs Weasley, Charlie Weasley, Romania, Hermione Granger, Hagrid, Madam Pince, Christmas Day, flute, 50 pence coin, Dursleys, fudge, Chocolate Frogs, knitted jumper, Invisibility Cloak, Harry's father, library restricted-books section, Argus Filch, Professor Severus Snape, old classroom, Mirror of Erised, Harry’s parents, Ron Weasley, Quidditch Cup, Mrs Norris, Albus Dumbledore"
Harry Potter and the Sorcerer's Stone,13,"Harry Potter, Neville Longbottom, Draco Malfoy, Nicolas Flamel, Hermione Granger, Philosopher's Stone, Severus Snape, Gryffindor, Hufflepuff, Ron Weasley, Vincent Crabbe, Gregory Goyle, Quidditch match, broomstick, Forbidden Forest, Quirinus Quirrell"
Harry Potter and the Sorcerer's Stone,14,"Harry, Ron, Hermione, Hagrid, Philosopher’s Stone, Fluffy, three-headed dog, Professors Sprout, Flitwick, McGonagall, Quirrell, Snape, Norwegian Ridgeback dragon, Norbert, Malfoy, Charlie Weasley, Madam Pomfrey, Invisibility Cloak, detention, Filch"
Harry Potter and the Sorcerer's Stone,15,"Filch, Harry, Hermione, McGonagall, Neville, detention, Malfoy, Professor Quirrell, Snape, Stone, Dumbledore, Forbidden Forest, Hagrid, silver unicorn blood, unicorn, centaurs, Ronan, Bane, red sparks, Fang, Firenze, Elixir of Life, Voldemort, common room, Invisibility Cloak, Ron"
Harry Potter and the Sorcerer's Stone,16,"Hagrid, dragon, stranger, Norbert, Hogwarts, Fluffy, three-headed dog, Dumbledore, McGonagall, London, Snape, Philosopher's Stone, Hermione, Full Body-Bind Curse, Neville, third-floor room, flute, Christmas gift, trapdoor, Professor Sprout, Devil’s Snare, fire, Professor Flitwick, flying keys, broomsticks, silver key, broken wing, Professor McGonagall, Wizard’s Chess, Ron, sacrifice, knocked out, Professor Quirrell, unconscious troll, Professor Snape, potions, logic puzzle, poison, nettle wine, purple flame, black flame, final room, surprise, Harry"
Harry Potter and the Sorcerer's Stone,17,"Quirrell, Harry, Snape, Mirror of Erised, Lord Voldemort, snake-like voice, Philosopher's Stone, shaking hands with Dumbledore, House Cup, Gryffindor, turban, Voldemort's face, burns on Quirrell, hospital wing, Dumbledore, Stone destroyed, Voldemort’s return, Harry’s mother’s protection, Snape’s grudging protection, James Potter, Ron, Hermione, Slytherin, Ravenclaw, Madam Pomfrey, Hagrid, book of photos, end of term feast, last-minute points, 50 points Ron, 50 points Hermione, 60 points Harry, 10 points Neville, Gryffindor wins House Cup, Slytherin disappointment, trunks packed, Hogwarts Express, goodbyes, muggle world"
Harry Potter and the Chamber of Secrets,1,"Harry Potter, Dursleys, Uncle Vernon, Hogwarts School of Witchcraft and Wizardry, Gryffindor House, Hedwig, Vernon, Ron Weasley, Hermione Granger, Mr Mason, Dudley, Aunt Petunia"
Harry Potter and the Chamber of Secrets,2,"Dobby, Harry, Uncle Vernon, Dudley, Ministry of Magic, Mrs Mason"
Harry Potter and the Chamber of Secrets,3,"Ron Weasley, Fred Weasley, George Weasley, Harry Potter, Dobby, Dursleys, Nimbus 2000, The Burrow, Malfoys, Lucius Malfoy, Voldemort, Molly Weasley, Arthur Weasley, Ginny Weasley, Gilderoy Lockhart"
Harry Potter and the Chamber of Secrets,4,"Harry Potter, The Burrow, Weasleys, Arthur Weasley, Molly Weasley, Diagon Alley, Floo Powder, Knockturn Alley, Borgin and Burkes, Lucius Malfoy, Draco Malfoy, Mr Borgin, Ministry of Magic, Muggle Protection Act, Hagrid, Hermione Granger, Flourish and Blotts, Gilderoy Lockhart, Hogwarts, Daily Prophet, Ginny Weasley"
Harry Potter and the Chamber of Secrets,5,"Harry Potter, Weasleys, King's Cross Station, Ford Anglia, Fred Weasley, George Weasley, Ginny Weasley, Hogwarts Express, Ron Weasley, Platform Nine and Three-Quarters, Muggles, Whomping Willow, Forbidden Forest, Professor Snape, Albus Dumbledore, Professor McGonagall, Hogwarts, Hedwig"
Harry Potter and the Chamber of Secrets,6,"Ron Weasley, Howler, Great Hall, Minerva McGonagall, Herbology, Hufflepuffs, Professor Sprout, Mandrake seedlings, Transfiguration, Spellotape, Gilderoy Lockhart, Defence Against the Dark Arts, Harry Potter, Colin Creevey"
Harry Potter and the Chamber of Secrets,7,"Gryffindor Quidditch team, Saturday morning, Oliver Wood, Slytherin Quidditch team, Nimbus 2001 broomsticks, Malfoy, Hermione Granger, Mudblood, Ron Weasley, Hagrid, Muggle-Borns, Purebloods, Hogwarts castle, Professor McGonagall, Harry Potter, Gilderoy Lockhart"
Harry Potter and the Chamber of Secrets,8,"Argus Filch, Harry Potter, Nearly Headless Nick, Deathday Party, Hallowe’en, Ron Weasley, Hermione Granger, Moaning Myrtle, Great Hall, Mrs Norris, torch bracket, THE CHAMBER OF SECRETS, Malfoy"
Harry Potter and the Chamber of Secrets,9,"Filch, Snape, Harry Potter, Dumbledore, Professor Sprout, mandrakes, Mrs Norris, Hermione Granger, Professor Binns, History of Magic, Salazar Slytherin, Hogwarts, Muggle-borns, Chamber of Secrets, Heir of Slytherin"
Harry Potter and the Chamber of Secrets,10,"Harry Potter, Ron Weasley, Hermione Granger, Draco Malfoy, Slytherin House, Pureblood, Voldemort, Gilderoy Lockhart, Moste Potente Potions, Restricted Section, Severus Snape, Moaning Myrtle, Bludger, Golden Snitch, Madam Pomfrey, Skele-Gro, Hospital Wing, Dobby, Platform Nine and Three-Quarters, Albus Dumbledore, Minerva McGonagall, Colin Creevey, Chamber of Secrets"
Harry Potter and the Chamber of Secrets,11,"Harry Potter, Moaning Myrtle, Hermione Granger, Ron Weasley, Severus Snape, Minerva McGonagall, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Gilderoy Lockhart, Potions class, Filibuster firework, Duelling Club, Justin Finch-Fletchley, Parseltongue, Salazar Slytherin, Hagrid, Hogwarts roosters, Nearly-Headless Nick, Peeves, Ernie Macmillan, Hufflepuff"
Harry Potter and the Chamber of Secrets,12,"Harry Potter, Albus Dumbledore, Fawkes, Hagrid, Slytherin, Christmas, Polyjuice Potion, Hermione Granger, Crabbe, Goyle, Millicent Bulstrode, Draco Malfoy, Lucius Malfoy, Slytherin common room"
Harry Potter and the Chamber of Secrets,13,"Ron Weasley, Harry Potter, Argus Filch, Moaning Myrtle, T.M. Riddle, Hermione Granger, Lockhart, Ginny Weasley, Draco Malfoy, Percy Weasley, Armando Dippet, Albus Dumbledore, Hagrid, Acromantula, Aragog"
Harry Potter and the Chamber of Secrets,14,"Harry Potter, Ron Weasley, Hermione Granger, Tom Riddle's Diary, Gryffindor, Minerva McGonagall, Ravenclaw, Hagrid, Cornelius Fudge, Minister for Magic, Albus Dumbledore, Lucius Malfoy, Hogwarts"
Harry Potter and the Chamber of Secrets,15,"Harry Potter, Ron Weasley, Hermione Granger, Fang, Arthur Weasley, Aragog, Hagrid, Mosag, Moaning Myrtle, Ford Anglia, Forbidden Forest, Hogwarts"
Harry Potter and the Chamber of Secrets,16,"Professor McGonagall, Harry Potter, Ron Weasley, Gilderoy Lockhart, Hermione Granger, Basilisk, Colin Creevey, Justin Finch-Fletchley, Nearly-Headless Nick, Mrs Norris, Penelope Clearwater, Hagrid, Moaning Myrtle, Ginny Weasley, Slytherin, Hogwarts"
Harry Potter and the Chamber of Secrets,17,"Harry Potter, Ginny Weasley, Tom Riddle, Dumbledore, Hogwarts, Transfiguration professor, Hagrid, Basilisk, Moaning Myrtle, Lord Voldemort, Fawkes, Sorting Hat, sword of Godric Gryffindor, Ron Weasley, Gilderoy Lockhart"
Harry Potter and the Chamber of Secrets,18,"McGonagall, Harry Potter, Ron Weasley, Ginny Weasley, Dumbledore, Arthur Weasley, Molly Weasley, Voldemort, Godric Gryffindor, Lucius Malfoy, Dobby, Riddle’s diary, Flourish and Blotts, Muggle Protection Act, Azkaban, Lockhart, King’s Cross, Fred Weasley, George Weasley, Percy Weasley, Penelope Clearwater, Ravenclaw, Sock"
Harry Potter and the Prisoner of Azkaban,1,"Harry Potter, Dursleys, Aunt Petunia, Dudley Dursley, Uncle Vernon, Ron Weasley, Hermione Granger, Hedwig, Rubeus Hagrid, Arthur Weasley, Daily Prophet, Bill Weasley, Percy Weasley, Minerva McGonagall, Hogsmeade, Hogwarts"
Harry Potter and the Prisoner of Azkaban,2,"Harry, Uncle Vernon, Dudley Dursley, Sirius Black, Muggle Prime Minister, London, Marjorie ""Marge"" Dursley, Hedwig, Weasleys, James Potter, Hogwarts"
Harry Potter and the Prisoner of Azkaban,3,"Magnolia Crescent, black dog, Harry, Knight Bus, Stan Shunpike, Ernie Prang, Leaky Cauldron, London, Daily Prophet, Sirius Black, Azkaban, Lord Voldemort, Potters, Minister for Magic, Cornelius Fudge, Ron, Hagrid's Hut, Marge, Decree for the Reasonable Restriction of Underage Sorcery, Hogsmeade"
Harry Potter and the Prisoner of Azkaban,4,"Harry, Diagon Alley, Ron, Hermione, Weasleys, Leaky Cauldron, Hermione's birthday money, magical pet, Crookshanks, Ron, Scabbers, Ron's parents, Arthur Weasley, Molly Weasley, Voldemort, Black, Harry, Cornelius Fudge, Hogwarts, Albus Dumbledore"
Harry Potter and the Prisoner of Azkaban,5,"Arthur, Harry, Black, Mr Weasley, Mrs Weasley, Hogwarts Express, Harry, Ron, Hermione, Professor Remus Lupin, Defence Against the Dark Arts teacher, Dementor, Azkaban Guards, Sirius Black, Hogwarts, Draco Malfoy, Professor McGonagall, Owl Post, Madam Pomfrey, Great Hall, Albus Dumbledore, Hagrid, Care of Magical Creatures teacher, Professor Kettleburn, Dementors"
Harry Potter and the Prisoner of Azkaban,6,"Harry, Ron, Hermione, North Tower, Divination lesson, Sybill Trelawney, tea leaves, black dog, Grim, Minerva McGonagall, Transfiguration, Care of Magical Creatures lesson, Hagrid, hippogriffs, Buckbeak, Malfoy, hospital wing, Gryffindor Tower"
Harry Potter and the Prisoner of Azkaban,7,"Malfoy, heavily bandaged arm, Hogwarts, Sirius Black, Potions lesson, Harry, Malfoy hinting connection to past, Defence Against the Dark Arts, Remus Lupin, third years, Boggarts, shape-shifters, worst fears, Harry’s Boggart, Dementor, glowing orb, Lupin repelling Boggart, Harry disappointed"
Harry Potter and the Prisoner of Azkaban,8,"Gryffindor Quidditch team, Oliver Wood, Hogwarts, Quidditch Cup, Third years, Hogsmeade, Halloween, Harry, Uncle Vernon, Remus Lupin, Snape, mysterious potion, Lord Voldemort, Ron, Hermione, Fat Lady portrait, Peeves, Sirius Black, Gryffindor Tower, Dumbledore, Argus Filch, Percy"
Harry Potter and the Prisoner of Azkaban,9,"Great Hall, teachers, Sirius Black, Snape, Dumbledore, Fat Lady, Sir Cadogan the Mad Knight, Gryffindor House, Percy Weasley, Professor McGonagall, Madam Hooch, Gryffindor Quidditch team, Slytherin, Hufflepuff, Lupin, werewolves, Harry, Dementors, Nimbus 2000 broomstick, Whomping Willow, Hospital Wing, Oliver Wood, Cedric Diggory"
Harry Potter and the Prisoner of Azkaban,10,"Madam Pomfrey, Harry, Lupin, Hermione, Dementors, Quidditch, Hufflepuff, Ravenclaw, Gryffindor, Fred, George, Marauder's Map, Hogwarts, Ron, Honeydukes, Three Broomsticks, Madam Rosmerta, Cornelius Fudge, Minerva McGonagall, Filius Flitwick, Rubeus Hagrid, Sirius Black, James Potter, Voldemort, Dumbledore, Fidelius Charm, Secret Keeper, Peter Pettigrew, Azkaban, Muggles"
Harry Potter and the Prisoner of Azkaban,11,"Harry, Sirius Black, Ron, Hermione, Hagrid, Buckbeak, Committee for the Disposal of Dangerous Creatures, Dementors, Azkaban, Firebolt, Crookshanks, Scabbers, McGonagall"
Harry Potter and the Prisoner of Azkaban,12,"Harry, Hermione, Ron, Crookshanks, Scabbers, Lupin, James Potter, Sirius Black, Slytherin, Ravenclaw, Gryffindor, McGonagall, Daily Prophet, Neville, Sir Cadogan, Firebolt"
Harry Potter and the Prisoner of Azkaban,13,"Harry, Firebolt, Cho Chang, Dementors, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Marcus Flint, Slytherin team, Lupin, McGonagall, Ron, Hermione, Sirius Black, Sir Cadogan, Neville, Gryffindor, Ravenclaw"
Harry Potter and the Prisoner of Azkaban,14,"Sirius Black, Professor Flitwick, Argus Filch, Hogsmeade, Sir Cadogan, Fat Lady, Ron, Neville, Professor McGonagall, Augusta Longbottom, Hagrid, Harry, Hermione, Marauder's Map, Shrieking Shack, Malfoy, Vincent Crabbe, Gregory Goyle, Snape, Lupin, Gryffindor Tower, Ministry of Magic, Buckbeak"
Harry Potter and the Prisoner of Azkaban,15,"Buckbeak, Ron, Hermione, Harry, Malfoy, Hagrid, Charms class, Divination class, Crookshanks, Gryffindor, Slytherin, Golden Snitch, Quidditch Cup"
Harry Potter and the Prisoner of Azkaban,16,"Students, Buckbeak, Harry, Hermione, Ron, Trelawney, Voldemort, Committee for the Disposal of Dangerous Creatures, Dumbledore, Fudge, Walden Macnair, one-eyed witch, Scabbers"
Harry Potter and the Prisoner of Azkaban,17,"Scabbers, Ron, Harry, Hermione, black dog, Crookshanks, Whomping Willow, Shrieking Shack, Sirius Black, Animagus, Lupin, Hermione, Snape, Boggart, Marauder's Map, Buckbeak, Peter Pettigrew"
Harry Potter and the Prisoner of Azkaban,18,"Harry, Ron, Hermione, Pettigrew, Black, Lupin, Marauders, Snape, Wolfsbane Potion, Dumbledore, Hogwarts, Shrieking Shack, Whomping Willow, Sirius, James Potter, Animagi, Hogsmeade, Snape"
Harry Potter and the Prisoner of Azkaban,19,"Snape, Lupin, Sirius Black, Harry, Ron, Hermione, Peter Pettigrew / Scabbers, Weasleys, Daily Prophet, Crookshanks, Neville, James Potter, Lily Potter, Voldemort, Dementors, Gryffindor Tower"
Harry Potter and the Prisoner of Azkaban,20,"Sirius Black, Harry, James Potter, Lily Potter, parents, Lupin, Wolfsbane Potion, Peter Pettigrew, Ron, Hermione, Forbidden Forest, Black Lake, Dementors"
Harry Potter and the Prisoner of Azkaban,21,"Harry, Hermione, Dumbledore, Buckbeak, West Tower, Dementor's Kiss, Snape, Cornelius Fudge, Minister Cornelius Fudge, McGonagall, Time-Turner, Hagrid, Whomping Willow, Forbidden Forest, Lupin, Macnair, Dementors, Sirius Black, Prongs (James Potter's Patronus form), James Potter"
Harry Potter and the Prisoner of Azkaban,22,"Harry, Hermione, Dumbledore, Snape, Fudge, Black, Ron, Lupin, Slytherin house, James, Trelawney, Voldemort, Pettigrew, Prongs, Gryffindor, Quidditch Cup, House Cup, London, Hogwarts Express, Time-Turner, Muggle Studies, Quidditch World Cup, Crookshanks, Firebolt, Hogsmeade, Sirius, Pigwidgeon, Ginny, King's Cross, Little Whinging, Uncle Vernon, godfather, wizard prison"
Harry Potter and the Goblet of Fire,1,"Frank Bryce, Tom Riddle Senior, Tom Riddle Junior, Lord Voldemort, Peter Pettigrew, Harry Potter, Bertha Jorkins, Riddles' maid, Riddles' cook, Dursleys, Riddle House, Little Whinging, Surrey, Privet Drive, drawing room, Nagini, Avada Kedavra, Parseltongue, Ministry of Magic, Muggles, wizards"
Harry Potter and the Goblet of Fire,2,"Harry Potter, Ron Weasley, Hermione Granger, Albus Dumbledore, Sirius Black, Peter Pettigrew, Remus Lupin, Hogwarts, Hedwig, wizarding world"
Harry Potter and the Goblet of Fire,3,"Aunt Petunia, Molly Weasley, Dursleys, Hermione Granger, Weasley family, Quidditch World Cup, Ireland, Bulgaria, Vernon Dursley, Sirius Black, Harry Potter, Ron Weasley, Pigwidgeon, The Burrow, Hedwig"
Harry Potter and the Goblet of Fire,4,"Weasleys, Floo Powder, Dursley household, electric fireplace, Dursleys, Mr Weasley, sitting room, Fred Weasley, Ton-Tongue Toffee, Dudley Dursley, Harry Potter, The Burrow, Uncle Vernon, china figurines"
Harry Potter and the Goblet of Fire,5,"The Burrow, Harry Potter, Ron Weasley, Bill Weasley, Charlie Weasley, Mr Weasley, Dudley Dursley, Muggle-wizard relations, twins, Mrs Weasley, Molly Weasley, Weasleys' Wizard Wheezes, Fred Weasley, George Weasley, Ministry of Magic, Hermione Granger, Quidditch World Cup, Sirius Black, Bertha Jorkins, Percy Weasley"
Harry Potter and the Goblet of Fire,6,"Harry Potter, Hermione Granger, Weasleys, Bill Weasley, Charlie Weasley, Percy Weasley, Mrs Weasley, Quidditch World Cup Final, Portkey, Mr Weasley, Britain, Stoatshead Hill, Cedric Diggory, Hufflepuff, Quidditch team, Amos Diggory, Fred Weasley, George Weasley, Gryffindor"
Harry Potter and the Goblet of Fire,7,"wizard campsite, Harry Potter, Ron Weasley, Hermione Granger, wizarding community, Weasley children, Ludo Bagman, Department of Magical Games and Sports, Fred Weasley, George Weasley, fake wand, Ireland, Bulgarian Seeker, Viktor Krum, Golden Snitch, Arthur Weasley, Bertha Jorkins, Percy Weasley, Barty Crouch, Department of International Magical Cooperation, Hogwarts"
Harry Potter and the Goblet of Fire,8,"Top Box, World Cup stadium, Harry Potter, Winky, house-elf, Dobby, Mr Crouch, Minister for Magic, Cornelius Fudge, Lucius Malfoy, Draco Malfoy, Weasleys, Malfoys, Ludo Bagman, mascots, Viktor Krum, Veela, Ireland, Golden Snitch, Quidditch World Cup, Fred Weasley, George Weasley"
Harry Potter and the Goblet of Fire,9,"campsite, masked wizards, Muggles, Mr Weasley, woods, Ron Weasley, Harry Potter, Hermione Granger, Fred Weasley, George Weasley, Ginny Weasley, Draco Malfoy, mudblood, Winky, Morsmordre, Dark Mark, Ministry of Magic, Barty Crouch, Death Eaters, Voldemort, Bill Weasley, Portkey"
Harry Potter and the Goblet of Fire,10,"campsite, The Burrow, Mrs Weasley, Daily Prophet, Rita Skeeter, Mr Weasley, Ministry of Magic, Percy Weasley, Ron Weasley, Harry Potter, Hermione Granger, Sirius Black, Dark Mark, Hogwarts, Quidditch World Cup, Bertha Jorkins, dress robes"
Harry Potter and the Goblet of Fire,11,"Harry Potter, Mr Weasley, Amos Diggory, Floo Network, Alastor Moody, Mad-Eye Moody, Auror, Charlie Weasley, Percy Weasley, King's Cross Station, Muggle taxi, Mrs Weasley, Bill Weasley, Hogwarts, wizarding schools, Europe, Hogwarts Express, Draco Malfoy, Quidditch World Cup"
