Book,Chapter,Entities
Harry Potter and the Order of the Phoenix,19,"Impediment Jinx, Reductor Curse, Stunning Spell, Hermione Granger, Protean Charm, D.A., Harry Potter, Gryffindor Quidditch team, Slytherin, Ron Weasley, Draco Malfoy, Fred Weasley, George Weasley, Dolores Umbridge, Hagrid"
Harry Potter and the Order of the Phoenix,20,"Hagrid, Ron Weasley, Harry Potter, Hermione Granger, dragon meat, Olympe Maxime, giants, Eastern Europe, Albus Dumbledore, Karkus, Gurg, Golgomath, Death Eaters, Order of the Phoenix, Care of Magical Creatures, Dolores Umbridge"
Harry Potter and the Order of the Phoenix,21,"Hagrid, Dolores Umbridge, Thestrals, Harry Potter, Fred Weasley, George Weasley, Quidditch, Ginny Weasley, Gryffindor, Seeker, Andrew Kirke, Jack Sloper, Beaters, Dumbledore's Army, Impediment Jinx, Stunning Spell, Christmas, Cho Chang, mistletoe, Ron Weasley, Arthur Weasley, Ministry of Magic, snake"
Harry Potter and the Order of the Phoenix,22,"Albus Dumbledore, Harry Potter, Ron Weasley, Professor McGonagall, Hogwarts, Arthur Weasley, St Mungo's Hospital for Magical Maladies and Injuries, Fred Weasley, George Weasley, Ginny Weasley, 12 Grimmauld Place, Portkey, Sirius Black, Mad-Eye Moody, Nymphadora Tonks, Blood-Replenishing Potion, werewolf, Healers, Extendable Ears, Voldemort"
Harry Potter and the Order of the Phoenix,23,"Voldemort, Harry Potter, Albus Dumbledore, Hermione Granger, Weasley family, 12 Grimmauld Place, Christmas, Ginny Weasley, Percy Weasley, Weasley jumper, Molly Weasley, Ron Weasley, Neville Longbottom, St Mungo's Hospital for Magical Maladies and Injuries, Defence Against the Dark Arts, Gilderoy Lockhart"
Harry Potter and the Order of the Phoenix,24,"Harry Potter, Weasley family, Hogwarts, Knight Bus, Arthur Weasley, Albus Dumbledore, Severus Snape, Occlumency, Department of Mysteries"
Harry Potter and the Order of the Phoenix,25,"Azkaban, Broderick Bode, Devil's Snare, St Mungo's Hospital for Magical Maladies and Injuries, Hagrid, Dolores Umbridge, Harry Potter, Cho Chang, Madam Puddifoot's Tea Shop, Hermione Granger, Three Broomsticks Inn, Rita Skeeter, Animagus, Voldemort, Luna Lovegood, Xenophilius Lovegood, The Quibbler"
Harry Potter and the Order of the Phoenix,26,"Hermione Granger, Harry Potter, Cho Chang, Ministry of Magic, Department of Mysteries, Voldemort, The Quibbler, Dolores Umbridge, Hogsmeade, wizarding community, Augustus Rookwood, Broderick Bode, Avery II, Occlumency, Severus Snape, Shield Charm, Professor Trelawney, Albus Dumbledore, Divination, Firenze, centaur"
Harry Potter and the Order of the Phoenix,27,"Harry Potter, Firenze, Divination, centaur, Professor Trelawney, Astrology, Forbidden Forest, Hogwarts, D.A., Patronus Charm, Dobby, Dolores Umbridge, Draco Malfoy, Albus Dumbledore, Professor McGonagall, Cornelius Fudge, Aurors, John Dawlish, Kingsley Shacklebolt, Percy Weasley, Marietta Edgecombe, Cho Chang, Room of Requirement, Dumbledore's Army, Ministry of Magic, Fawkes"
Harry Potter and the Order of the Phoenix,28,"Dolores Umbridge, Headmistress, Inquisitorial Squad, Harry Potter, Albus Dumbledore, Sirius Black, Floo Network, Ministry of Magic, Fred Weasley, George Weasley, Wildfire Whiz-bangs, Cho Chang, Marietta Edgecombe, Occlumency, Severus Snape, Pensieve, James Potter, Lily Evans"
Harry Potter and the Order of the Phoenix,29,"Harry Potter, fifth years, career advice, Professor McGonagall, Auror, Dolores Umbridge, Fred Weasley, George Weasley, Remus Lupin, Sirius Black, James Potter, Severus Snape, Hogwarts, broomsticks, Diagon Alley, Weasleys' Wizard Wheezes"
Harry Potter and the Order of the Phoenix,30,"Fred Weasley, George Weasley, Hogwarts, Harry Potter, Ron Weasley, Hermione Granger, Triwizard Tournament, Gryffindor, Quidditch, Ravenclaw, Hagrid, Grawp, Dolores Umbridge, Albus Dumbledore, centaurs, Firenze, Divination, Forbidden Forest, Quidditch Cup"
Harry Potter and the Order of the Phoenix,31,"Harry Potter, Hermione Granger, Ron Weasley, Grawp, O.W.L. examinations, Astronomy, Dolores Umbridge, Aurors, Hagrid, Hogwarts, Sybill Trelawney, Minerva McGonagall, St Mungo's Hospital for Magical Maladies and Injuries, History of Magic, Sirius Black, Voldemort, Department of Mysteries"
Harry Potter and the Order of the Phoenix,32,"Harry Potter, Ron Weasley, Hermione Granger, Sirius Black, Dolores Umbridge, Kreacher, Department of Mysteries, Inquisitorial Squad, Severus Snape, Veritaserum, Cruciatus Curse, Dementors, Albus Dumbledore, Forbidden Forest"
Harry Potter and the Order of the Phoenix,33,"Hermione Granger, Harry Potter, Dolores Umbridge, Forbidden Forest, centaurs, Skirmish in the Forbidden Forest, Hagrid, Grawp, Ron Weasley, Luna Lovegood, Ginny Weasley, Neville Longbottom, Inquisitorial Squad, Sirius Black, Ministry of Magic, Thestrals"
Harry Potter and the Order of the Phoenix,34,"Ministry of Magic, Department of Mysteries, Hall of Prophecy, Harry Potter, prophecy, Death Eaters"
Harry Potter and the Order of the Phoenix,35,"Lucius Malfoy, Voldemort, Harry Potter, prophecy, Death Eaters, Death Chamber, Order of the Phoenix, Sirius Black, Bellatrix Lestrange, Remus Lupin"
Harry Potter and the Order of the Phoenix,36,"Albus Dumbledore, Death Eaters, Bellatrix Lestrange, Harry Potter, Ministry of Magic, Cruciatus Curse, Voldemort, Disapparate, Sirius Black, Cornelius Fudge, Hogwarts, Portkey"
Harry Potter and the Order of the Phoenix,37,"Albus Dumbledore, Harry Potter, Sirius Black, Occlumency, Severus Snape, Kreacher, Buckbeak, Narcissa Malfoy, Bellatrix Lestrange, prophecy, Dark Lord, Voldemort, Neville Longbottom, half-blood, pureblood, prefect"
Harry Potter and the Order of the Phoenix,38,"Ron Weasley, Hermione Granger, Ministry of Magic, Cornelius Fudge, Voldemort, Harry Potter, Rita Skeeter, Daily Prophet, Professor McGonagall, St Mungo's Hospital for Magical Maladies and Injuries, Hagrid, Sirius Black, Dolores Umbridge, Hogwarts, two-way mirror, Nearly Headless Nick, Luna Lovegood, Thestrals, Veil, Hogwarts Express, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Dumbledore's Army, Cho Chang, Michael Corner, Ginny Weasley, Gryffindor, Ravenclaw, Dean Thomas, King's Cross Station, Mad-Eye Moody, Nymphadora Tonks, Remus Lupin, Dursley family"
Harry Potter and the Half-Blood Prince,1,"Muggle Prime Minister, Cornelius Fudge, Sirius Black, Azkaban, Quidditch World Cup, Triwizard Tournament, Brockdale Bridge, West Country, Amelia Bones, Emmeline Vance, Herbert Chorley, Lord Voldemort, Death Eaters, Giants, Second Wizarding War, Rufus Scrimgeour, Minister for Magic"
Harry Potter and the Half-Blood Prince,2,"Narcissa Malfoy, Bellatrix Lestrange, Severus Snape, Spinner's End, Draco Malfoy, Lord Voldemort, Death Eaters, Battle of the Department of Mysteries, Ministry of Magic, Hogwarts, Philosopher's Stone, Quirinus Quirrell, Harry Potter, Albus Dumbledore, Lucius Malfoy, Unbreakable Vow"
Harry Potter and the Half-Blood Prince,3,"Albus Dumbledore, Harry Potter, 4 Privet Drive, The Burrow, Sirius Black, Black family, 12 Grimmauld Place, Order of the Phoenix, Kreacher, Hogwarts, Dursleys"
Harry Potter and the Half-Blood Prince,4,"Albus Dumbledore, Harry Potter, Hogwarts, Horace Slughorn, Death Eaters, Professor Quirrell, Lord Voldemort, Order of the Phoenix, Slug Club, The Burrow"
Harry Potter and the Half-Blood Prince,5,"The Burrow, Weasley family, Fred Weasley, George Weasley, Ron Weasley, Hermione Granger, Ginny Weasley, Fleur Delacour, Gringotts, Bill Weasley, Arthur Weasley, O.W.L. results, Auror, Severus Snape, N.E.W.T. Potions class"
Harry Potter and the Half-Blood Prince,6,"The Burrow, Harry Potter, Hermione Granger, Weasley family, Diagon Alley, Rubeus Hagrid, Draco Malfoy, Narcissa Malfoy, Madam Malkin's, Weasleys' Wizard Wheezes, Fred Weasley, George Weasley, Ginny Weasley, Pygmy Puff, Invisibility Cloak, Knockturn Alley, Borgin and Burkes, Borgin, Dark artefacts, Dark Mark, Death Eaters, Fenrir Greyback, Ron Weasley"
Harry Potter and the Half-Blood Prince,7,"Hogwarts Express, Harry Potter, Neville Longbottom, Luna Lovegood, Ron Weasley, Hermione Granger, Prefect Carriage, Ginny Weasley, Dean Thomas, Horace Slughorn, Hogsmeade Station, Invisibility Cloak, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Pansy Parkinson, Blaise Zabini, Death Eaters, Lord Voldemort"
Harry Potter and the Half-Blood Prince,8,"Nymphadora Tonks, Ministry of Magic, Hogsmeade, Harry Potter, Severus Snape, Start-of-Term Feast, Albus Dumbledore, Defence Against the Dark Arts, Horace Slughorn, Potions Master, Ron Weasley, O.W.L."
Harry Potter and the Half-Blood Prince,9,"Harry Potter, Ron Weasley, Hermione Granger, Charms, Defence Against the Dark Arts, Herbology, Potions, Transfiguration, N.E.W.T., Severus Snape, Advanced Potion-Making, Horace Slughorn, Half-Blood Prince, Draught of Living Death, Felix Felicis, Ginny Weasley, Tom Riddle"
Harry Potter and the Half-Blood Prince,10,"Albus Dumbledore, Harry Potter, Lord Voldemort, The Pensieve, Bob Ogden, Marvolo Gaunt, Morfin Gaunt, Ministry of Magic, Tom Riddle, Merope Gaunt, Azkaban"
Harry Potter and the Half-Blood Prince,11,"Harry Potter, Gryffindor Quidditch Captain, Quidditch Cup, Gryffindor, Ravenclaw, Hufflepuff, Katie Bell, Ginny Weasley, Ron Weasley, Cormac McLaggen, Hermione Granger, Rubeus Hagrid, Care of Magical Creatures, Great Hall, Confundus Charm, Horace Slughorn, Slug Club, Severus Snape"
Harry Potter and the Half-Blood Prince,12,"Harry Potter, Half-Blood Prince, Levicorpus, Ron Weasley, Hermione Granger, Hogsmeade, Katie Bell, necklace, Borgin and Burkes, Draco Malfoy, Minerva McGonagall"
Harry Potter and the Half-Blood Prince,13,"Albus Dumbledore, Harry Potter, Caractacus Burke, Salazar Slytherin, Merope Gaunt, Tom Riddle, orphanage, Lord Voldemort"
Harry Potter and the Half-Blood Prince,14,"Ron Weasley, Hermione Granger, Harry Potter, Slughorn, Christmas party, Cho Chang, Katie Bell, Dean Thomas, Quidditch team, Ginny Weasley, Viktor Krum, Felix Felicis, Gryffindor, Slytherin, Lavender Brown, Oppugno Jinx"
Harry Potter and the Half-Blood Prince,15,"Horace Slughorn, Harry Potter, Hermione Granger, Romilda Vane, Luna Lovegood, Cormac McLaggen, Ron Weasley, Draco Malfoy, Severus Snape"
Harry Potter and the Half-Blood Prince,16,"Harry Potter, Ron Weasley, Arthur Weasley, Remus Lupin, Severus Snape, Draco Malfoy, Albus Dumbledore, Rufus Scrimgeour, The Burrow, Ministry of Magic"
Harry Potter and the Half-Blood Prince,17,"Harry Potter, Ginny Weasley, Dean Thomas, Hermione Granger, Draco Malfoy, Severus Snape, Fenrir Greyback, Remus Lupin, Borgin and Burkes, Lord Voldemort, Death Eaters, Hogwarts, Morfin Gaunt, Slughorn, Horcruxes, Muggle ancestors, Riddle family, Marauder's Map"
Harry Potter and the Half-Blood Prince,18,"Harry Potter, Apparition lessons, Wilkie Twycross, Ministry of Magic, Ron Weasley, Chocolate Cauldrons, love potion, Romilda Vane, Horace Slughorn, Romilda, Madam Rosmerta, Mulled Mead, Albus Dumbledore, Bezoar"
Harry Potter and the Half-Blood Prince,19,"Ron Weasley, Hermione Granger, Ginny Weasley, Rubeus Hagrid, Harry Potter, Albus Dumbledore, Severus Snape, Cormac McLaggen, Lavender Brown, Quidditch match, Luna Lovegood, Kreacher, Dobby, Draco Malfoy"
Harry Potter and the Half-Blood Prince,20,"Albus Dumbledore, Harry Potter, Horace Slughorn, Tom Riddle, Salazar Slytherin, Helga Hufflepuff, Hepzibah Smith, Hogwarts, Defence Against the Dark Arts"
Harry Potter and the Half-Blood Prince,21,"Ron Weasley, Lavender Brown, Harry Potter, Kreacher, Dobby, Draco Malfoy, Room of Requirement, Marauder's Map, Hermione Granger, Hogsmeade, Apparition test"
Harry Potter and the Half-Blood Prince,22,"Harry Potter, Horace Slughorn, Ron Weasley, Felix Felicis, Rubeus Hagrid, Aragog, Hagrid's hut, Acromantula venom"
Harry Potter and the Half-Blood Prince,23,"Horace Slughorn, Tom Riddle, Horcruxes, Lord Voldemort, Albus Dumbledore, diary, Gaunt's ring, locket, Helga Hufflepuff's cup, Rowena Ravenclaw, Nagini, Harry Potter"
Harry Potter and the Half-Blood Prince,24,"Harry Potter, Ginny Weasley, Dean Thomas, Ron Weasley, Katie Bell, necklace, Imperius Curse, Rosmerta's Pub, Hogsmeade, Draco Malfoy, Half-Blood Prince, Severus Snape, Gryffindor, Quidditch Cup"
Harry Potter and the Half-Blood Prince,25,"Albus Dumbledore, Harry Potter, Divination, Professor Trelawney, Room of Requirement, Draco Malfoy, Severus Snape, Lord Voldemort, prophecy, Harry's parents, Horcrux, Salazar Slytherin's locket, Ron Weasley, Hermione Granger, Felix Felicis"
Harry Potter and the Half-Blood Prince,26,"Albus Dumbledore, Harry Potter, Lord Voldemort, cave, lake, locket, emerald green potion, Inferi, Hogsmeade, Dark Mark, astronomy tower, Hogwarts"
Harry Potter and the Half-Blood Prince,27,"Albus Dumbledore, Harry Potter, Invisibility Cloak, Draco Malfoy, Death Eaters, vanishing cabinets, Borgin, cursed necklace, poisoned mead, Lord Voldemort, Severus Snape, Hogwarts"
Harry Potter and the Half-Blood Prince,28,"Harry Potter, Severus Snape, Half-Blood Prince, Tobias Snape, Eileen Prince, Hogwarts, Death Eaters, Buckbeak, Hippogriff, Draco Malfoy, Albus Dumbledore, locket, R.A.B."
Harry Potter and the Half-Blood Prince,29,"Harry Potter, Ginny Weasley, Bill Weasley, Death Eater, Fenrir Greyback, Fleur Delacour, Mrs. Weasley, Nymphadora Tonks, Remus Lupin, Severus Snape, Albus Dumbledore, Professor McGonagall, Ron Weasley, Hermione Granger, Half-Blood Prince"
Harry Potter and the Half-Blood Prince,30,"Harry Potter, Ginny Weasley, Hermione Granger, Rufus Scrimgeour, Ron Weasley, Albus Dumbledore, Lord Voldemort, Horcruxes, Hogwarts"
Harry Potter and the Deathly Hallows,1,"Lord Voldemort, Death Eaters, Malfoy Manor, Harry Potter, 4 Privet Drive, Lucius Malfoy, Charity Burbage, Hogwarts, Muggle Studies, Bellatrix Lestrange, Severus Snape, Albus Dumbledore, Corban Yaxley, Ministry of Magic, Imperius Curse"
Harry Potter and the Deathly Hallows,2,"Harry Potter, Albus Dumbledore, Percival Dumbledore, Muggles, Azkaban, Rita Skeeter, Ariana Dumbledore, Gellert Grindelwald"
Harry Potter and the Deathly Hallows,3,"Harry Potter, Petunia Dursley, Vernon Dursley, Dudley Dursley, Death Eaters, Order of the Phoenix, Dedalus Diggle, Hestia Jones"
Harry Potter and the Deathly Hallows,4,"Harry Potter, Ron Weasley, Fred Weasley, George Weasley, Hermione Granger, Fleur Delacour, Mundungus Fletcher, Nymphadora Tonks, Arthur Weasley, Remus Lupin, Kingsley Shacklebolt, Bill Weasley, Alastor Moody, Rubeus Hagrid, Sirius Black, Death Eaters, Voldemort, Hedwig, Stan Shunpike, Lucius Malfoy, Polyjuice Potion, broomsticks, Thestrals"
Harry Potter and the Deathly Hallows,5,"Harry Potter, Rubeus Hagrid, Nymphadora Tonks, Ted Tonks, Andromeda Tonks, The Burrow, Hedwig, Death Eaters, George Weasley, Severus Snape, Mad-Eye Moody, Lord Voldemort, Garrick Ollivander, wands, Killing Curse"
Harry Potter and the Deathly Hallows,6,"Harry Potter, Ron Weasley, Hermione Granger, The Burrow, Bill Weasley, Fleur Delacour, Molly Weasley, Lord Voldemort, Horcruxes, Albus Dumbledore"
Harry Potter and the Deathly Hallows,7,"Harry Potter, Lord Voldemort, Gregorovitch, Hermione Granger, Sneakoscope, Ginny Weasley, Ron Weasley, Rufus Scrimgeour, The Burrow, Albus Dumbledore, Deluminator, The Tales of Beedle the Bard, Godric Gryffindor's Sword, Golden Snitch, Bill Weasley, Fleur Delacour, Hogwarts, Quidditch"
Harry Potter and the Deathly Hallows,8,"Harry Potter, Ron Weasley, Hermione Granger, Barny Weasley, Elphias Doge, Muriel, Albus Dumbledore, Ariana Dumbledore, Aberforth Dumbledore, Kingsley Shacklebolt, Patronus, Voldemort, Ministry of Magic, Rufus Scrimgeour, The Burrow, Bill Weasley, Fleur Delacour"
Harry Potter and the Deathly Hallows,9,"Harry Potter, Ron Weasley, Hermione Granger, Death Eaters, 12 Grimmauld Place, Order of the Phoenix, Severus Snape, Tottenham Court Road, Muggle London, café"
Harry Potter and the Deathly Hallows,10,"Harry Potter, Hermione Granger, Ron Weasley, Regulus Arcturus Black, Sirius Black, Death Eaters, R.A.B., Horcrux, Locket, Kreacher, Voldemort, Mundungus Fletcher, Black family"
Harry Potter and the Deathly Hallows,11,"Harry Potter, Hermione Granger, Ron Weasley, Kreacher, Mundungus Fletcher, Remus Lupin, Nymphadora Tonks, Voldemort, Death Eaters, Ministry of Magic, Muggle-born wizards and witches, Dumbledore, Dolores Umbridge, 12 Grimmauld Place, Horcrux, Locket"
Harry Potter and the Deathly Hallows,12,"Harry Potter, Hermione Granger, Ron Weasley, Mafalda Hopkirk, Reginald Cattermole, Albert Runcorn, Polyjuice Potion, Ministry of Magic, Horcrux, Dolores Umbridge"
Harry Potter and the Deathly Hallows,13,"Harry Potter, Hermione Granger, Ron Weasley, Alastor Moody, Alastor's magical eye, Dolores Umbridge, Corban Yaxley, Death Eaters, Muggle-Born Registration Commission, Horcrux, Ministry of Magic, Muggle-borns"
Harry Potter and the Deathly Hallows,14,"Harry Potter, Ron Weasley, Hermione Granger, Voldemort, Gregorovitch, Horcrux"
Harry Potter and the Deathly Hallows,15,"Harry Potter, Hermione Granger, Ron Weasley, Ted, Dirk Cresswell, Dean Thomas, Griphook, Gornuk, Godric Gryffindor's sword, Dumbledore, Lestrange Vault, Snape, Rubeus Hagrid, Phineas Nigellus Black, Marvolo Gaunt's ring, Horcrux, basilisk venom, locket Horcrux"
Harry Potter and the Deathly Hallows,16,"Harry Potter, Hermione Granger, Ron Weasley, Godric's Hollow, Dumbledore, Bathilda Bagshot, A History of Magic, Harry's parents, Dumbledore's family, graveyard, memorial"
Harry Potter and the Deathly Hallows,17,"Harry Potter, Hermione Granger, Bathilda Bagshot, Gellert Grindelwald, Dumbledore, Voldemort, Nagini, Gryffindor's sword, Parseltongue, Harry's wand, lightning scar, Harry's parents, Apparition"
Harry Potter and the Deathly Hallows,18,"Harry Potter, Hermione Granger, Forest of Dean, Rita Skeeter, The Life and Lies of Albus Dumbledore, Gellert Grindelwald, Albus Dumbledore, Muggles"
Harry Potter and the Deathly Hallows,19,"Harry Potter, Hermione Granger, Ron Weasley, silver doe Patronus, Godric Gryffindor's Sword, Salazar Slytherin's locket, Tom Riddle, Riddle-Harry, Riddle-Hermione, Deluminator, Snatchers, Stan Shunpike"
Harry Potter and the Deathly Hallows,20,"Harry Potter, Hermione Granger, Ron Weasley, Deluminator, Voldemort, The Tales of Beedle the Bard, Xenophilius Lovegood, Grindelwald, Ottery St Catchpole"
Harry Potter and the Deathly Hallows,21,"Harry Potter, Ron Weasley, Hermione Granger, Lovegood House, Xenophilius Lovegood, Luna Lovegood, Deathly Hallows, Elder Wand, Resurrection Stone, Invisibility Cloak, Death, Ministry of Magic, Death Eaters"
Harry Potter and the Deathly Hallows,22,"Harry Potter, Ron Weasley, Hermione Granger, Voldemort, Snatchers, Potterwatch, Lee Jordan, Daily Prophet"
Harry Potter and the Deathly Hallows,23,"Harry Potter, Ron Weasley, Hermione Granger, Malfoy Manor, Draco Malfoy, Lucius Malfoy, Bellatrix Lestrange, Godric Gryffindor's Sword, Dean Thomas, Griphook, Garrick Ollivander, Luna Lovegood, Dumbledore's eye, Dobby, Wormtail (Peter Pettigrew), Voldemort, Shell Cottage, Bill Weasley, Fleur Delacour"
Harry Potter and the Deathly Hallows,24,"Harry Potter, Ron Weasley, Hermione Granger, Dobby, Bill Weasley, Griphook, Dean Thomas, Luna Lovegood, Garrick Ollivander, Gringotts Wizarding Bank, Bellatrix Lestrange, Godric Gryffindor's Sword, Elder Wand, Voldemort, Dumbledore"
Harry Potter and the Deathly Hallows,25,"Harry Potter, Ron Weasley, Hermione Granger, Griphook, Godric Gryffindor's Sword, Remus Lupin, Nymphadora Tonks, Teddy Lupin, Bill Weasley, Shell Cottage"
Harry Potter and the Deathly Hallows,26,"Harry Potter, Ron Weasley, Hermione Granger, Griphook, Bellatrix Lestrange, Godric Gryffindor's Sword, Helga Hufflepuff's Cup, Thief's Downfall, Gringotts Wizarding Bank, dragon"
Harry Potter and the Deathly Hallows,27,"Harry Potter, Ron Weasley, Hermione Granger, Lord Voldemort, Gringotts Wizarding Bank, Horcruxes, Rowena Ravenclaw, Hogwarts Castle, Hogsmeade"
Harry Potter and the Deathly Hallows,28,"Harry Potter, Ron Weasley, Hermione Granger, Death Eaters, Aberforth Dumbledore, Albus Dumbledore, Ariana Dumbledore, Percival Dumbledore, Kendra Dumbledore, Gellert Grindelwald"
Harry Potter and the Deathly Hallows,29,"Harry Potter, Ron Weasley, Hermione Granger, Neville Longbottom, Ginny Weasley, Luna Lovegood, Dumbledore's Army (D.A.), Severus Snape, Fred Weasley, George Weasley, Cho Chang, Rowena Ravenclaw, Ravenclaw Tower, Rowena Ravenclaw's Diadem, Alecto Carrow"
Harry Potter and the Deathly Hallows,30,"Harry Potter, Luna Lovegood, Amycus Carrow, Minerva McGonagall, Severus Snape, Voldemort, Death Eaters, Dementors, Kingsley Shacklebolt, Dumbledore's Army (D.A.), Order of the Phoenix, Hogwarts teachers, enchanted statues, enchanted suits of armour"
Harry Potter and the Deathly Hallows,31,"Harry Potter, Ron Weasley, Hermione Granger, Grey Lady (Helena Ravenclaw), Basilisk fangs, Chamber of Secrets, Room of Requirement, Room of Hidden Things, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Fiendfyre, Fred Weasley, Percy Weasley, Death Eaters, Pius Thicknesse, Voldemort, Nagini, Acromantulas, Giants, Fenrir Greyback, Lavender Brown, Sybill Trelawney, Seamus Finnigan, Luna Lovegood, Ernie Macmillan"
Harry Potter and the Deathly Hallows,32,"Harry Potter, Hermione Granger, Ron Weasley, Shrieking Shack, Voldemort, Severus Snape, Elder Wand, Nagini, Dumbledore, Lily Potter, Remus Lupin, Nymphadora Tonks, Colin Creevey, Fred Weasley, Dumbledore's office"
Harry Potter and the Deathly Hallows,33,"Harry Potter, Severus Snape, Lily Evans/Potter, James Potter, Sirius Black, Voldemort/Tom Riddle, Albus Dumbledore, Wormtail/Peter Pettigrew, Death Eaters, Draco Malfoy, Gryffindor, Slytherin, Dumbledore's ring, Parseltongue, Horcrux, Patronus, Sword of Gryffindor, Lake (where sword was hidden)"
Harry Potter and the Deathly Hallows,34,"Harry Potter, Severus Snape, Albus Dumbledore, Voldemort/Tom Riddle, Neville Longbottom, Nagini, Golden Snitch, Resurrection Stone, James Potter, Lily Potter/Evans, Sirius Black, Remus Lupin, Invisibility Cloak, Horcrux"
Harry Potter and the Deathly Hallows,35,"Harry Potter, Albus Dumbledore, Voldemort/Tom Riddle, Lily Potter/Evans, Little Hangleton, Horcrux, Deathly Hallows, Grindelwald, Dumbledore’s sister Ariana, King's Cross Station"
Harry Potter and the Deathly Hallows,36,"Voldemort, Harry Potter, Narcissa Malfoy, Draco Malfoy, Death Eaters, Hagrid, Hogwarts, Neville Longbottom, Sorting Hat, Centaurs, Invisibility Cloak, Nagini, Gryffindor's Sword, Great Hall, Dumbledore's Army, Order of the Phoenix, Minerva McGonagall, Horace Slughorn, Kingsley Shacklebolt, Bellatrix Lestrange, Ginny Weasley, Luna Lovegood, Hermione Granger, Mrs Weasley, Elder Wand, Severus Snape, Ollivander, Tom Riddle, Dumbledore, Ron Weasley, Resurrection Stone, Dumbledore's portrait, Harry's wand"
Harry Potter and the Deathly Hallows,Epilogue,"Harry Potter, Ginny Weasley, Hermione Granger, Ron Weasley, King's Cross Station, Hogwarts, Neville Longbottom, James Sirius Potter, Albus Severus Potter, Lily Luna Potter, Rose Weasley, Hugo Weasley, Draco Malfoy, Astoria Greengrass, Scorpius Malfoy, Ted Lupin, Victoire Weasley, Sorting Hat"